
=== 执行时间: 2026-04-28 17:19:42 ===
处理总数: 2761 篇 | 成功添加: 2460 篇 | 跳过: 301 篇
✅ 成功 | BinaryBang/cj/Course01/13-网络编程.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/03-对数据进行加工-运算符和表达式.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/01-制造第一个程序.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/08-文件操作和io流.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/12-并发编程.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/07-万物皆对象.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/15-综合练习.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/04-复杂数据-枚举和结构.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/05-程序世界流转的三大法则.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/14-反射和注解.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/10-包管理.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/02-存储数据的盒子-变量.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/09-数据的集合.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/06-代码复用的基本单元-函数.md | 匹配关键词: default
✅ 成功 | BinaryBang/cj/Course01/11-异常处理.md | 匹配关键词: default
✅ 成功 | BinaryBang/arkts/pathlib/01-pathlib简介.md | 匹配关键词: default
✅ 成功 | open-source/article/pdf/20251001-Python处理PDF.md | 匹配关键词: python
✅ 成功 | open-source/article/excel/Python处理Excel用哪个库：全面对比与实战指南.md | 匹配关键词: python
✅ 成功 | open-source/article/excel/Excel中使用Python完全指南：从启用到实战.md | 匹配关键词: python
✅ 成功 | open-source/article/a-模板.md | 匹配关键词: default
✅ 成功 | open-source/news/20251017-hkdoll-python.md | 匹配关键词: python
✅ 成功 | open-source/news/20250413-github-403.md | 匹配关键词: github
✅ 成功 | open-source/news/20250528-鸿蒙概念的区别.md | 匹配关键词: default
✅ 成功 | open-source/cpython/versions/3.14/20251009-zstd.md | 匹配关键词: default
✅ 成功 | open-source/cpython/versions/3.14/20251008-python3.14-公众号.md | 匹配关键词: python
✅ 成功 | open-source/cpython/versions/20251010-每个版本的新特性.md | 匹配关键词: default
✅ 成功 | open-source/cpython/002.md | 匹配关键词: default
✅ 成功 | open-source/cpython/001-编译.md | 匹配关键词: default
✅ 成功 | open-source/others/20250402-腾讯sdk后续.md | 匹配关键词: default
✅ 成功 | open-source/others/20250401-腾讯报错信息的优化.md | 匹配关键词: default
✅ 成功 | open-source/others/20250403-多页PDF.md | 匹配关键词: default
✅ 成功 | open-source/course/开源协议入门/1-有多少开源协议.md | 匹配关键词: default
✅ 成功 | open-source/course/开源协议入门/2-开源不等于免费.md | 匹配关键词: default
✅ 成功 | open-source/course/开源协议入门/3-开源检测工具.md | 匹配关键词: default
✅ 成功 | open-source/course/20250407-源码开发.md | 匹配关键词: default
✅ 成功 | open-source/course/20250402-开源协议.md | 匹配关键词: default
✅ 成功 | open-source/course/20250426-入门.md | 匹配关键词: default
✅ 成功 | open-source/course/20250421-potx-cloud-开发.md | 匹配关键词: default
✅ 成功 | open-source/course/20250402-空格.md | 匹配关键词: default
✅ 成功 | open-source/tools/20250416-git-mirrors.md | 匹配关键词: git
✅ 成功 | open-source/video/2-3.6到3.14.md | 匹配关键词: default
✅ 成功 | open-source/video/20251009-3.14视频脚本.md | 匹配关键词: default
✅ 成功 | open-source/video/20251009-30w下载的库.md | 匹配关键词: default
✅ 成功 | open-source/video/20251117-所有文件类型.md | 匹配关键词: default
✅ 成功 | open-source/video/1-Python处理PDF-视频脚本.md | 匹配关键词: python
✅ 成功 | open-source/all.md | 匹配关键词: default
✅ 成功 | lin/lin-0611.md | 匹配关键词: default
✅ 成功 | back/20240721-劳资蜀道山.md | 匹配关键词: default
✅ 成功 | poprogress/progress-init-one-line.md | 匹配关键词: default
✅ 成功 | Josephan/10讲少儿编程/001-xxx.md | 匹配关键词: default
❌ 跳过 | py-pro-100/pro-finance-sys.md | 无frontmatter
❌ 跳过 | py-pro-100/cloud-music-py.md | 无frontmatter
❌ 跳过 | py-pro-100/world-cup-video01.md | 无frontmatter
❌ 跳过 | py-pro-100/pro-heart-soap.md | 无frontmatter
❌ 跳过 | py-pro-100/pro-aiface-sys.md | 无frontmatter
❌ 跳过 | py-pro-100/world-cup-video01-article.md | 无frontmatter
✅ 成功 | course/coder-lawyer/20241104-推特卖个人信息.md | 匹配关键词: default
✅ 成功 | course/coder-lawyer/20250820-大模型个人隐私.md | 匹配关键词: default
✅ 成功 | course/coder-lawyer/20250503-开盒犯法吗.md | 匹配关键词: default
✅ 成功 | course/side-hustle/one-on-one/250716-4个杠杆（续）.md | 匹配关键词: default
✅ 成功 | course/side-hustle/one-on-one/250712-4个杠杆.md | 匹配关键词: default
✅ 成功 | course/side-hustle/one-on-one/250714-情商-口音.md | 匹配关键词: default
✅ 成功 | course/side-hustle/self-media/creation-tips/1-开源鸿蒙的视频总结.md | 匹配关键词: default
✅ 成功 | course/side-hustle/self-media/video-courses/1-怎么制作视频课程.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/video-recording/250719-视频制作的死穴.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/wangpan-promotion/1-入门.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/personal-website/20250725-又被刷了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/personal-website/250722-怎么被大模型搜到.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/ai-courses/0-别卷了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/delivery-project/1-外卖训练营-推广码.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/delivery-project/1-外卖训练营.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/douyin-books/250722-赚钱逻辑.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/11-知乎项目.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/16-10个割韭菜的项目.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/14-副业和自媒体.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/20-闭环.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/26-第二阶段.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/8-赚大厂的钱.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/1-写在前面.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/3-试玩.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/7-短视频赚钱的秘密是什么？.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/27-副业建议.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/13-网盘拉新是怎么赚钱的.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/22-副业5年.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/23-第一阶段.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/18-公众号流量主.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/10-副业项目10：线上快递.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/24-不想上班.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/2-从0开始.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/15-重庆广东.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/5-高佣联盟.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/6-在抖音卖书这件事.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/17-副业赚钱.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/25-豆包.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/9-普通人做兼职猎头原来这么赚钱？.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/19-网盘拉新-操作.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/4-信用卡推广.md | 匹配关键词: default
✅ 成功 | course/side-hustle/project-list/12-写作5年.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/2、不敢推荐自媒体.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/3、运气不好的时候，试试勇气.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/5、自媒体躺赚的时代结束了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/20250724-博主的下一站.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/6、我不想创造垃圾了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/8、有了一个新的目标.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/1、昨天副业收入900+，但我破防了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/4、赚麻了.md | 匹配关键词: default
✅ 成功 | course/side-hustle/insights/7、转行程序员，最大的困难是什么.md | 匹配关键词: default
✅ 成功 | course/side-hustle/all.md | 匹配关键词: default
✅ 成功 | course/self-media/20250523-我被盗版了.md | 匹配关键词: default
✅ 成功 | course/self-media/20251104-收入提高计划.md | 匹配关键词: default
✅ 成功 | course/self-media/20250524-所有生意都是人的生意.md | 匹配关键词: default
✅ 成功 | course/self-media/20250527-技术文章怎么写.md | 匹配关键词: default
✅ 成功 | course/self-media/20250520-我所有的变现方式.md | 匹配关键词: default
✅ 成功 | course/self-media/20250531-网站又被刷了.md | 匹配关键词: default
✅ 成功 | course/self-media/20250524-2年更新完了.md | 匹配关键词: default
✅ 成功 | course/self-media/日更才是大招.md | 匹配关键词: default
✅ 成功 | course/self-media/粉丝吵架.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/35.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/50.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/01.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/11.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/40.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/25.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/05.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/31.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/21.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/44.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/15.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/04.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/30.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/20.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/45.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/14.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/34.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/10.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/41.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/24.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/07.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/33.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/23.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/17.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/46.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/37.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/03.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/42.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/13.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/27.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/36.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/02.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/43.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/12.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/26.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/06.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/32.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/22.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/16.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/39.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/29.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/09.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/48.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/19.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/08.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/49.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/18.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/38.md | 匹配关键词: default
✅ 成功 | course/xiaobao-tutorial/50讲自动化办公/28.md | 匹配关键词: default
✅ 成功 | course/qianli-club/2-语音沟通001.md | 匹配关键词: default
✅ 成功 | course/qianli-club/1-加入.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/events/20251123-参加过的活动.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/columns/magic-methods/1-slot.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/video-scripts/6个高阶技巧.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/type-hint.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/2-装饰器.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/10-迷你框架.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/4-描述符协议.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/1-迭代生成.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/6-类型提示.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/0-课程预热.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/8-内存模型.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/大纲.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/5-元类.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/3-上下文管理.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/9-模块化.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-advanced/7-并发模型.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/python-books/20250803-图灵python.md | 匹配关键词: python
✅ 成功 | course/程序员晚枫/20250423-course-002.md | 匹配关键词: course
✅ 成功 | course/程序员晚枫/20241109-3.13.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/20250211-course-001.md | 匹配关键词: course
✅ 成功 | course/程序员晚枫/20250120-非程序员的入门课.md | 匹配关键词: default
✅ 成功 | course/程序员晚枫/20250206-Excel-auto.md | 匹配关键词: default
✅ 成功 | course/python/res/260119-50-python-office-res.md | 匹配关键词: python
✅ 成功 | course/python/res/260119-15-zero-res.md | 匹配关键词: default
✅ 成功 | course/python/res/260120-30-excel-res.md | 匹配关键词: default
✅ 成功 | course/python/ads/260127-腾讯AI.md | 匹配关键词: ai
✅ 成功 | course/python/ads/260119-15-zero.md | 匹配关键词: default
✅ 成功 | course/python/ads/260119-30-excel.md | 匹配关键词: default
✅ 成功 | course/python/ads/260122-ai-python.md | 匹配关键词: python
✅ 成功 | course/python/ads/260119-50-python-office.md | 匹配关键词: python
✅ 成功 | course/third-party-libs/pyinstaller/8-cicd.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/6-图形化.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/1-为什么学pyinstaller.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/4-命令行参数.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/3-核心概念.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/12-附录.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/2-环境准备与初体验.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/9-定位问题.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/10-pro.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/5-spec.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/7-瘦身.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/11-实战.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/pyinstaller/0-大纲.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/all.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/8.1-32万次下载.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/2-cProfile.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/6-nuitka.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/8-po.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/4-poemail.md | 匹配关键词: ai
✅ 成功 | course/third-party-libs/15-web.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/13-matlab.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/9-popdf.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/7-poocr.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/3-requests.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/5-pipreqs.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/10-pymupdf.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/11-markitdown.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/14-qt-side.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/12-.md | 匹配关键词: default
✅ 成功 | course/third-party-libs/1-potime.md | 匹配关键词: default
✅ 成功 | awesome-python-framework/leijun-weibo.md | 匹配关键词: default
❌ 跳过 | python-star-group/practice-source.md | 无frontmatter
❌ 跳过 | python-star-group/math-bad.md | 无frontmatter
❌ 跳过 | python-star-group/str-format.md | 无frontmatter
❌ 跳过 | python-star-group/python-difficult.md | 无frontmatter
✅ 成功 | python-star-group/up-499-profile.md | 匹配关键词: default
❌ 跳过 | python-star-group/python-star-group.md | 无frontmatter
✅ 成功 | python-star-group/py-excel-zn.md | 匹配关键词: default
✅ 成功 | python-star-group/work3-599-star.md | 匹配关键词: default
✅ 成功 | python-star-group/python-25-github.md | 匹配关键词: github
❌ 跳过 | python-star-group/bi-sys.md | 无frontmatter
❌ 跳过 | python-star-group/pro-backend.md | 无frontmatter
❌ 跳过 | python-star-group/backend-study.md | 无frontmatter
✅ 成功 | ads/ali/qoder/20251030-cli.md | 匹配关键词: default
✅ 成功 | ads/ali/0228/大学生用服务器做什么？.md | 匹配关键词: default
✅ 成功 | ads/ali/2025云栖大会/主会场.md | 匹配关键词: default
✅ 成功 | ads/ali/2025云栖大会/模板.md | 匹配关键词: default
✅ 成功 | ads/ali/2025云栖大会/主视频.md | 匹配关键词: default
✅ 成功 | ads/ali/lingMa/20251010-BigSize.md | 匹配关键词: default
✅ 成功 | ads/ali/20241229-2-ocr.md | 匹配关键词: default
✅ 成功 | ads/ali/20250724-阿里的野心.md | 匹配关键词: default
✅ 成功 | ads/ali/20241229-3-wuying.md | 匹配关键词: default
✅ 成功 | ads/ali/20241229-4-list.md | 匹配关键词: default
✅ 成功 | ads/ali/20241229-1-ecs.md | 匹配关键词: default
✅ 成功 | ads/openai/20250806-开源了2个模型.md | 匹配关键词: default
✅ 成功 | ads/zhihu/20240828-国内AI应用.md | 匹配关键词: ai
✅ 成功 | ads/kuaiShou/20251010-CodeFlicker.md | 匹配关键词: code
✅ 成功 | ads/bytedance/coze/书单号/公众号文章/2万的培训班.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/6-流畅的Python/3.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/6-流畅的Python/21-流畅的python-2.md | 匹配关键词: python
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/6-流畅的Python/6-流畅的Python.md | 匹配关键词: python
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/6-流畅的Python/4.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/6-流畅的Python/5.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/2.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/6.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/7.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/3.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/1-图解大模型.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/4-图解ds.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/8.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/9.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/2-图解大模型/5-大模型.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/2.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/6.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/7.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/3.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/1-金融人工智能.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/4.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/3-金融人工智能/5.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/2.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/6.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/7.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/1-计算机怎样跑起来的.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/4-程序怎么跑起来.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/8.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/9.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/3-网络连接.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/7-怎么样系列/5.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/2.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/6.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/7.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/3.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/8.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/1-程序员数学.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/4.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/5-程序员数学/5.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/1-Python编程从入门到实践/3-从入门到实践.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/1-Python编程从入门到实践/2-从入门到实践.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/1-Python编程从入门到实践/1-从入门到实践.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/1-Python编程从入门到实践/4.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/1-Python编程从入门到实践/5.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/4-数据科学手册/2.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/4-数据科学手册/3.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/卖出去的书/4-数据科学手册/19-Python数据科学手册.md | 匹配关键词: python
✅ 成功 | ads/bytedance/coze/书单号/模板.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/5-图解DeepSeek.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/10-第一性原理.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/11-黑客与画家.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/14-贫穷的本质.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/20-英伟达之道.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/24-AI辅助编程实战.md | 匹配关键词: ai
✅ 成功 | ads/bytedance/coze/书单号/23-超智能与未来.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/12-从零构建大模型.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/1-智能简史.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/13-大模型技术30讲.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/4-我看见的世界.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/18-机器学习漫画小抄.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/9-算法面试328题.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/22-无人机diy.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/2-从新手到高手.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/8-芯片通识课.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/书单号/0-提示词.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/工作流/下载链接/公众号.md | 匹配关键词: default
✅ 成功 | ads/bytedance/coze/工作流/20250822-自动发文章.md | 匹配关键词: default
✅ 成功 | ads/bytedance/250726-coze开源.md | 匹配关键词: default
✅ 成功 | ads/bytedance/20250725-字节海外.md | 匹配关键词: default
